id,cs_rating,name,symbol,slug,num_market_pairs,date_added,tags,circulating_supply,total_supply,cmc_rank,last_updated,quote_eur_price,quote_eur_volume_24h,quote_eur_volume_change_24h,quote_eur_percent_change_1h,quote_eur_percent_change_24h,quote_eur_percent_change_7d,quote_eur_percent_change_30d,quote_eur_percent_change_60d,quote_eur_percent_change_90d,quote_eur_market_cap,quote_eur_market_cap_dominance,quote_eur_fully_diluted_market_cap,quote_eur_last_updated
1,AAA,Bitcoin,BTC,bitcoin,9379,2013-04-28T00:00:00Z,"[""mineable"",""pow"",""sha-256"",""store-of-value"",""state-channel"",""coinbase-ventures-portfolio"",""three-arrows-capital-portfolio"",""polychain-capital-portfolio"",""binance-labs-portfolio"",""blockchain-capital-portfolio"",""boostvc-portfolio"",""cms-holdings-portfolio"",""dcg-portfolio"",""dragonfly-capital-portfolio"",""electric-capital-portfolio"",""fabric-ventures-portfolio"",""framework-ventures-portfolio"",""galaxy-digital-portfolio"",""huobi-capital-portfolio"",""alameda-research-portfolio"",""a16z-portfolio"",""1confirmation-portfolio"",""winklevoss-capital-portfolio"",""usv-portfolio"",""placeholder-ventures-portfolio"",""pantera-capital-portfolio"",""multicoin-capital-portfolio"",""paradigm-portfolio""]",19028643,19028643,1,2022-05-02T15:01:00Z,36914.9833,32688136439,28.5676,-0.3419,1.4702,-2.1996,-16.7132,-10.5916,0.8917,702442038722,42.4657,775214649471,2022-05-02T15:01:16Z
1027,AAA,Ethereum,ETH,ethereum,5671,2015-08-07T00:00:00Z,"[""mineable"",""pow"",""smart-contracts"",""ethereum-ecosystem"",""coinbase-ventures-portfolio"",""three-arrows-capital-portfolio"",""polychain-capital-portfolio"",""binance-labs-portfolio"",""blockchain-capital-portfolio"",""boostvc-portfolio"",""cms-holdings-portfolio"",""dcg-portfolio"",""dragonfly-capital-portfolio"",""electric-capital-portfolio"",""fabric-ventures-portfolio"",""framework-ventures-portfolio"",""hashkey-capital-portfolio"",""kenetic-capital-portfolio"",""huobi-capital-portfolio"",""alameda-research-portfolio"",""a16z-portfolio"",""1confirmation-portfolio"",""winklevoss-capital-portfolio"",""usv-portfolio"",""placeholder-ventures-portfolio"",""pantera-capital-portfolio"",""multicoin-capital-portfolio"",""paradigm-portfolio"",""injective-ecosystem"",""bnb-chain""]",120616771.6,120616771.6,2,2022-05-02T15:00:00Z,2688.8857,17355840473,21.1222,-0.267,1.6879,-3.1615,-18.975,-2.1444,2.1313,324324717856,19.6099,324324717856,2022-05-02T15:01:16Z
825,AAA,Tether,USDT,tether,32673,2015-02-25T00:00:00Z,"[""payments"",""stablecoin"",""asset-backed-stablecoin"",""avalanche-ecosystem"",""solana-ecosystem"",""arbitrum-ecosytem"",""moonriver-ecosystem"",""injective-ecosystem"",""bnb-chain"",""usd-stablecoin""]",83152877108,85713951816,3,2022-05-02T15:00:00Z,0.9505,65225889348,4.1638,-0.1687,-0.7186,-1.5921,-0.0186,-0.0262,-0.0318,79040768403,4.7774,81475191839,2022-05-02T15:01:16Z
1839,AAA,BNB,BNB,bnb,827,2017-07-25T00:00:00Z,"[""marketplace"",""centralized-exchange"",""payments"",""smart-contracts"",""alameda-research-portfolio"",""multicoin-capital-portfolio"",""moonriver-ecosystem"",""bnb-chain""]",163276974.6,163276974.6,4,2022-05-02T15:00:00Z,369.7693,1464359301,-4.1232,-0.4356,0.7062,-2.9267,-13.0467,-4.979,1.7064,60374814927,3.6492,61055111101,2022-05-02T15:01:16Z
3408,AAA,USD Coin,USDC,usd-coin,3860,2018-10-08T00:00:00Z,"[""medium-of-exchange"",""stablecoin"",""asset-backed-stablecoin"",""fantom-ecosystem"",""arbitrum-ecosytem"",""moonriver-ecosystem"",""bnb-chain"",""usd-stablecoin""]",49265554891,49265554891,5,2022-05-02T15:00:00Z,0.9506,3638152349,-2.518,-0.1818,-0.7188,-1.6159,0.0344,0.0782,-0.003,46829997733,2.8311,46829997733,2022-05-02T15:01:16Z
5426,AAA,Solana,SOL,solana,302,2020-04-10T00:00:00Z,"[""pos"",""platform"",""solana-ecosystem"",""cms-holdings-portfolio"",""kenetic-capital-portfolio"",""alameda-research-portfolio"",""multicoin-capital-portfolio"",""okex-blockdream-ventures-portfolio""]",334402586.6,511616946.1,6,2022-05-02T15:00:00Z,84.0019,1321706033,-18.2699,0.0844,0.1519,-10.8256,-37.0267,-10.3535,-18.1145,28090464368,1.6985,42976813486,2022-05-02T15:01:16Z
52,,XRP,XRP,xrp,714,2013-08-04T00:00:00Z,"[""medium-of-exchange"",""enterprise-solutions"",""binance-chain"",""arrington-xrp-capital-portfolio"",""galaxy-digital-portfolio"",""a16z-portfolio"",""pantera-capital-portfolio""]",48105234849,99989594553,7,2022-05-02T15:01:00Z,0.5826,1677584547,-9.8917,-0.3625,2.6662,-9.9794,-27.0565,-19.982,-1.0524,28024272377,1.6945,58256180362,2022-05-02T15:01:16Z
4172,AAA,Terra,LUNA,terra-luna,232,2019-07-26T00:00:00Z,"[""cosmos-ecosystem"",""store-of-value"",""defi"",""payments"",""coinbase-ventures-portfolio"",""binance-labs-portfolio"",""solana-ecosystem"",""arrington-xrp-capital-portfolio"",""hashkey-capital-portfolio"",""kenetic-capital-portfolio"",""huobi-capital-portfolio"",""pantera-capital-portfolio"",""terra-ecosystem""]",344359622.5,727327778.8,8,2022-05-02T15:01:00Z,79.8507,1946289918,-0.0454,-0.8372,5.0137,-9.9403,-25.3401,-9.8137,61.8263,27497361185,1.6616,58077641293,2022-05-02T15:01:16Z
2010,AAA,Cardano,ADA,cardano,431,2017-10-01T00:00:00Z,"[""mineable"",""dpos"",""pos"",""platform"",""research"",""smart-contracts"",""staking"",""cardano-ecosystem"",""cardano"",""bnb-chain""]",33739028516,34277702082,9,2022-05-02T15:00:00Z,0.7404,873707446.5,-14.64,-0.7718,0.2243,-10.9911,-33.9848,-15.2725,-26.4722,24980043197,1.5102,33317555167,2022-05-02T15:01:16Z
7129,AA,TerraUSD,UST,terrausd,533,2020-09-21T00:00:00Z,"[""cosmos-ecosystem"",""stablecoin"",""terra-ecosystem"",""injective-ecosystem"",""bnb-chain"",""usd-stablecoin""]",18576646812,18576646812,10,2022-05-02T15:00:00Z,0.9502,529811601.7,-7.863,-0.1589,-0.7436,-1.6538,-0.1253,-0.5015,0.1439,17651324596,1.0669,17651324596,2022-05-02T15:01:16Z
